term,estimate,std_error,t_value,p_value,sig_star
(Intercept),-0.014,0.276,-0.05,0.961,
Runtime (scaled),0.208,0.012,17.75,4.0899999999999995e-69,***
logVotes,0.081,0.006,14.05,2.52e-44,***
logRevenue,0.327,0.016,20.38,5.869999999999999e-90,***
drama,0.216,0.025,8.75,2.62e-18,***
comedy,-0.251,0.025,-10.19,3.15e-24,***
action,-0.48,0.028,-17.4,1.4799999999999997e-66,***
horror,-0.766,0.035,-22.17,1.1599999999999998e-105,***
