Genre,avg_rating_1996-2016,avg_rating_2017-2024,dual_success_rate_1996-2016,dual_success_rate_2017-2024,n_movies_1996-2016,n_movies_2017-2024,dsr_change
Documentary,7.2,7.29,87.7,87.6,228,137,-0.10000000000000853
Comedy,6.24,6.17,49.1,46.2,1804,846,-2.8999999999999986
Biography,7.04,6.86,85.5,80.3,311,208,-5.200000000000003
Drama,6.64,6.42,66.6,58.6,2836,1581,-7.999999999999993
Crime,6.5,6.3,59.2,50.6,958,492,-8.600000000000001
