term,df,sumsq,meansq,statistic,p.value
factor(votes_quartile),3,416.55869028753244,138.85289676251082,121.0113283129133,1.3353488788251821e-76
Residuals,7779,8925.913788191256,1.1474371754970119,NA,NA
