term,estimate,odds_ratio,std_error,z_value,p_value,sig_star
(Intercept),-17.1,0,0.456,-37.47,2.449999999999999e-307,***
Runtime (scaled),0.393,1.481,0.015,26.44,5.059999999999999e-154,***
logVotes,0.076,1.079,0.01,7.84,4.58e-15,***
logRevenue,0.998,2.713,0.029,34.82,1.0499999999999995e-265,***
drama,0.306,1.358,0.027,11.46,2.0099999999999997e-30,***
comedy,-0.605,0.546,0.028,-21.81,1.9699999999999996e-105,***
action,-1.124,0.325,0.035,-32.25,3.299999999999999e-228,***
horror,-2.032,0.131,0.047,-43.51,0,***
