genre_count_group,N_Movies,Mean_Rating,SD_Rating,Dual_Success_Rate
Single,8255,6.25,1.3,61.1
Two,11355,6.16,1.17,57.5
Three,13850,5.99,1.16,49
NA,41,6.58,1.6,68.3
